"Timestamp","Level","Temperature","Relative.Humidity","altitude..ft.","RH_ice","contrailPresent"
"2022-09-02 23:00:00",225,222.071594238281,64.6508103907108,36195.497,103.869250205426,1
"2022-09-04 00:00:00",225,222.217514038086,63.5126477545127,36195.497,101.91934543373,1
"2022-09-04 00:00:00",250,228.05891418457,67.7748695183545,33984.704,103.550416629839,1
"2022-09-04 01:00:00",250,227.908309936523,66.3761570095085,33984.704,101.545097657936,1
"2022-09-04 04:00:00",225,222.571655273438,63.1410098727793,36195.497,101.030071483832,1
"2022-09-04 23:00:00",250,229.223815917969,70.9303601384163,33984.704,107.283384453149,1
"2022-09-05 00:00:00",250,229.091323852539,69.8253291249275,33984.704,105.733784537093,1
"2022-09-05 01:00:00",225,222.876434326172,63.1328778695315,36195.497,100.764792211131,1
"2022-09-05 20:00:00",250,230.328155517578,68.5120619088411,33984.704,102.630519831088,1
"2022-09-05 20:00:00",225,223.741455078125,67.6254811584949,36195.497,107.167336437143,1
"2022-09-05 20:00:00",200,216.902755737305,62.8963416814804,38615.046,105.257782882819,1
"2022-09-06 05:00:00",225,223.713973999023,66.0086807012558,36195.497,104.628999144918,1
"2022-09-06 05:00:00",250,229.51123046875,69.4618851542473,33984.704,104.799557190897,1
"2022-09-06 06:00:00",250,230.005645751953,68.3658298254013,33984.704,102.701302416007,1
"2022-09-06 06:00:00",200,217.402694702148,60.5798313617706,38615.046,100.994217131684,1
"2022-09-07 02:00:00",225,224.01774597168,71.4694828987122,36195.497,112.999454710674,1
"2022-09-08 02:00:00",250,226.559127807617,73.2544286549091,33984.704,113.370297470573,1
"2022-09-08 02:00:00",275,230.99494934082,85.2748740501702,31946.256,126.994259035758,1
"2022-09-08 03:00:00",275,231.595764160156,83.6899076998234,31946.256,123.974276948686,1
"2022-09-08 03:00:00",250,227.094375610352,78.0597327798605,33984.704,120.256440734056,1
"2022-09-08 04:00:00",275,231.926162719727,73.656845510006,31946.256,108.792859004629,1
"2022-09-10 02:00:00",225,223.800521850586,66.3631983995438,36195.497,105.115462407979,1
"2022-09-10 03:00:00",225,224.002883911133,72.2765778303146,36195.497,114.289663891796,1
"2022-09-10 04:00:00",225,224.404846191406,64.0200795214623,36195.497,100.895386155842,1
"2022-09-11 05:00:00",250,231.735549926758,68.125300946238,33984.704,100.792782470816,1
"2022-09-11 06:00:00",200,219.062835693359,61.7085415571928,38615.046,101.558214327697,1
"2022-09-11 23:00:00",250,231.491668701172,72.2510125935078,33984.704,107.127845589704,1
"2022-09-12 01:00:00",225,225.506500244141,64.1306865513325,36195.497,100.139645130525,1
"2022-09-13 05:00:00",225,224.544540405273,64.1629273220897,36195.497,101.002589353021,1
"2022-09-24 05:00:00",275,230.696395874023,70.7516222894192,31946.256,105.643077675301,1
"2022-09-24 06:00:00",275,230.916229248047,77.1927867978811,31946.256,115.037906152419,1
"2022-09-29 06:00:00",225,227.255340576172,68.2281162440777,36195.497,104.965409847123,1
"2022-09-29 20:00:00",225,226.226760864258,66.3799125552177,36195.497,103.021882999396,1
"2022-09-29 22:00:00",225,226.369171142578,66.5137108564377,36195.497,103.104712550911,1
"2022-09-30 02:00:00",250,231.484771728516,69.8138981461525,33984.704,103.520606948366,1
"2022-09-30 06:00:00",225,225.013229370117,67.1253531575203,36195.497,105.251832040384,1
"2022-09-30 19:00:00",225,225.939590454102,64.6346277473494,36195.497,100.557771565634,1
"2022-09-30 19:00:00",250,230.97705078125,67.1743702143431,33984.704,100.054151628836,1
"2022-09-30 20:00:00",200,220.18473815918,67.507007598877,38615.046,110.11954625475,1
"2022-09-30 21:00:00",225,226.036010742188,64.6563211232424,36195.497,100.509378962056,1
"2022-09-30 21:00:00",250,231.367141723633,67.3884007520974,33984.704,100.028016012878,1
"2022-09-30 22:00:00",250,231.322219848633,67.3836488258094,33984.704,100.06066649135,1
"2022-09-30 22:00:00",225,225.963806152344,64.648574501276,36195.497,100.558842669729,1
"2022-09-30 23:00:00",250,231.605056762695,67.5811539515853,33984.704,100.103297175175,1
"2022-10-01 00:00:00",200,222.355133056641,64.4078447818756,38615.046,103.239806223678,1
"2022-10-01 00:00:00",225,227.821319580078,66.6617509275675,36195.497,102.058423735676,1
"2022-10-01 04:00:00",225,228.267608642578,67.9210067689419,36195.497,103.586944451773,1
"2022-10-01 05:00:00",225,228.321304321289,65.7206117510796,36195.497,100.184613290165,1
"2022-10-06 08:00:00",225,216.976440429688,63.033485531807,36195.497,105.428056801563,1
"2022-10-06 09:00:00",225,216.574584960938,66.4116165041924,36195.497,111.418196590696,1
"2022-10-12 06:00:00",250,220.154479980469,63.3161380290985,33984.704,103.308163815356,1
"2022-10-12 15:00:00",275,227.701019287109,65.7542824270204,31946.256,100.773337124232,1
"2022-10-12 16:00:00",250,221.87907409668,69.6921947002411,33984.704,112.144370422443,1
"2022-10-12 16:00:00",275,227.838912963867,69.7879846096039,31946.256,106.828474865353,1
"2022-10-12 19:00:00",250,221.95133972168,66.4024372398853,33984.704,106.787928458949,1
"2022-10-13 01:00:00",275,227.063125610352,67.5366142392159,31946.256,104.072661645812,1
"2022-10-13 02:00:00",225,217.104736328125,63.5809134244919,36195.497,106.239556383814,1
"2022-10-13 03:00:00",225,216.704986572266,74.4717184305191,36195.497,124.816974770104,1
"2022-10-13 03:00:00",200,211.260513305664,70.3442426919937,38615.046,122.653430871568,1
"2022-10-13 04:00:00",225,217.802017211914,62.1079545021057,36195.497,103.224024227621,1
"2022-10-13 04:00:00",200,211.147537231445,58.7302865982056,38615.046,102.482899796033,1
