Timestamp,Level,Temperature,Relative Humidity,altitude (ft),RH_ice,contrailPresent
2022-09-01 01:00:00,500.0,267.69073486328125,15.713322296738625,18281.181,16.56325197186022,1.0
2022-09-01 01:00:00,475.0,264.65330505371094,13.301726665347816,19515.537,14.438119774409774,1.0
2022-09-01 01:00:00,450.0,261.2240295410156,13.430309750139712,20803.669,15.067960533833714,1.0
2022-09-01 01:00:00,425.0,257.6610565185547,13.321498677134514,22151.114,15.467765262796746,1.0
2022-09-01 01:00:00,400.0,254.06814575195312,12.59669329226017,23564.347,15.139751199286575,1.0
2022-09-01 01:00:00,350.0,246.3007354736328,11.513264307752252,26620.215,14.89987076617058,1.0
2022-09-01 01:00:00,325.0,241.8342742919922,11.59569838643074,28282.971,15.64871265403983,1.0
2022-09-01 01:00:00,300.0,236.9437866210937,12.938717231154442,30052.74,18.266785959013742,1.0
2022-09-01 01:00:00,275.0,232.0194091796875,16.020611882209778,31946.256,23.6432463870557,1.0
2022-09-01 01:00:00,250.0,226.9419403076172,18.72305476665497,33984.704,28.88178210914241,1.0
2022-09-01 01:00:00,225.0,221.22848510742188,25.890818912535902,36195.497,41.881972109841335,1.0
2022-09-01 01:00:00,200.0,217.63491821289065,24.939658880233765,38615.046,41.503391574082585,1.0
2022-09-01 01:00:00,375.0,250.3134155273437,11.38771022669971,25051.008,14.186844694839882,1.0
2022-09-01 02:00:00,250.0,226.4464111328125,18.64021629095077,33984.704,28.875732206366592,1.0
2022-09-01 02:00:00,425.0,257.85926818847656,13.020188927650452,22151.114,15.089103561264162,1.0
2022-09-01 02:00:00,200.0,217.46649169921875,28.39554212987423,38615.046,47.315764178555376,1.0
2022-09-01 02:00:00,275.0,231.72433471679688,14.384271442890167,31946.256,21.28393935496539,1.0
2022-09-01 02:00:00,300.0,236.98065185546875,12.697360761463642,30052.74,17.920011607205797,1.0
2022-09-01 02:00:00,325.0,241.69374084472656,10.009154084138572,28282.971,13.525314247315642,1.0
2022-09-01 02:00:00,350.0,246.0138702392578,11.37705087265931,26620.215,14.763513338683222,1.0
2022-09-01 02:00:00,375.0,250.0545959472656,11.628348018741235,25051.008,14.522393914341425,1.0
2022-09-01 02:00:00,400.0,254.0207977294922,12.51049782987684,23564.347,15.042980010755198,1.0
2022-09-01 02:00:00,450.0,261.4425201416016,13.02401603013277,20803.669,14.581373012418943,1.0
2022-09-01 02:00:00,225.0,221.30674743652344,26.88512668106705,36195.497,43.462939712387204,1.0
2022-09-01 02:00:00,475.0,264.5059967041016,12.657162956893444,19515.537,13.758028993421883,1.0
2022-09-01 02:00:00,500.0,267.4534454345703,14.503474235534668,18281.181,15.322988474404704,1.0
2022-09-01 03:00:00,350.0,246.1627960205078,11.130691161379218,26620.215,14.42353620969715,1.0
2022-09-01 03:00:00,300.0,236.9483184814453,10.270190741866829,30052.74,14.498780339684236,1.0
2022-09-01 03:00:00,400.0,253.92794799804688,12.769487388432026,23564.347,15.368066655526926,1.0
2022-09-01 03:00:00,425.0,257.60302734375,12.903657540678978,22151.114,14.99097211173373,1.0
2022-09-01 03:00:00,450.0,261.1182098388672,13.257453680038452,20803.669,14.88921034587382,1.0
2022-09-01 03:00:00,275.0,231.61651611328125,13.123467162251472,31946.256,19.436914372759514,1.0
2022-09-01 03:00:00,250.0,226.26593017578125,20.65549297630787,33984.704,32.046743930762894,1.0
2022-09-01 03:00:00,225.0,221.0219116210937,31.52253080904484,36195.497,51.076989216317514,1.0
2022-09-01 03:00:00,200.0,217.4960327148437,27.40305481292308,38615.046,45.65160935531187,1.0
2022-09-01 03:00:00,325.0,241.860092163086,9.636632921174169,28282.971,13.00177329185005,1.0
2022-09-01 03:00:00,375.0,250.15008544921875,12.379688628017902,25051.008,15.4466717327296,1.0
2022-09-01 03:00:00,475.0,264.4548645019531,14.7708108574152,19515.537,16.063435414074675,1.0
2022-09-01 03:00:00,500.0,266.8441467285156,17.1577820032835,18281.181,18.234118525801282,1.0
2022-09-01 04:00:00,325.0,241.4862518310547,9.515493671409786,28282.971,12.883083486605289,1.0
2022-09-01 04:00:00,275.0,231.50735473632807,13.67577913403511,31946.256,20.274505138649666,1.0
2022-09-01 04:00:00,350.0,245.8091735839844,10.879368660971522,26620.215,14.144979074086313,1.0
2022-09-01 04:00:00,375.0,249.6664886474609,12.004050715826452,25051.008,15.047095435722222,1.0
2022-09-01 04:00:00,400.0,253.61900329589844,12.127770446939394,23564.347,14.639032435080429,1.0
2022-09-01 04:00:00,425.0,257.3211364746094,12.511480094864964,22151.114,14.574826827969959,1.0
2022-09-01 04:00:00,450.0,260.7391357421875,12.754510894417765,20803.669,14.37680932762945,1.0
2022-09-01 04:00:00,250.0,226.1678466796875,23.92981495708227,33984.704,37.157743875774635,1.0
2022-09-01 04:00:00,475.0,263.8910522460937,15.381199130788444,19515.537,16.818476541603527,1.0
2022-09-01 04:00:00,500.0,266.7339172363281,18.006282329559326,18281.181,19.156203651870985,1.0
2022-09-01 04:00:00,300.0,236.69107055664065,10.981397658586502,30052.74,15.539223019810015,1.0
2022-09-01 04:00:00,200.0,217.4251251220703,27.393519634380937,38615.046,45.660588349401316,1.0
2022-09-01 04:00:00,225.0,221.1365203857422,31.65763808041811,36195.497,51.24858522103546,1.0
2022-09-01 05:00:00,475.0,263.66571044921875,11.500099033117294,19515.537,12.60207884900004,1.0
2022-09-01 05:00:00,225.0,220.8939208984375,31.53037543036044,36195.497,51.142311736232514,1.0
2022-09-01 05:00:00,500.0,267.00721740722656,10.750099316239355,18281.181,11.406515775836288,1.0
