Model,Accuracy,Kappa,PPV
KNN,0.97,0.936,0.980582524
SVM,0.8842676,0.68571733,1
Random Forest,0.899638336,0.738692334,0.916
Decision Tree,0.849909584,0.637724799,0.732522796
XGBoost,0.902307,0.760353346,0.910526316
