Level,Accuracy,Cohen_Kappa,McNemars_Test_p_value,Sensitivity,Specificity,Precision
200,0.96835443,0.064424443,0.001374276,0.2,0.973248408,0.045454545
225,0.962025316,-0.008854078,0.000126046,0,0.96692112,0
250,0.962025316,-0.015076238,0.017622091,0,0.971867008,0
275,0.965822785,0.056278205,0.007053638,0.142857143,0.973180077,0.045454545
300,0.959493671,0.044017547,0.002654029,0.125,0.968030691,0.038461538
225 Boosted,0.973779385,0.935959844,0.002967106,0.980582524,0.971141782,0.929447853
