"temperature","humidity","pressure","image"
209.477417,3.186864287,18499.99771,0
209.7474365,3.067528903,18499.99771,0
210.7309875,2.938781142,26399.99924,0
211.201355,2.554326832,39799.99924,0
210.7967224,2.694520086,38599.99771,0
210.536911,2.698614568,38299.99771,0
210.5193481,2.940544695,27599.99924,0
209.6136475,3.18992281,15099.99771,0
209.4825287,3.436038673,15199.99924,0
209.4880219,3.186376959,15299.99924,0
209.4786224,3.186439723,15199.99924,0
209.6294098,3.208102137,15499.99924,0
209.2924957,3.333202273,15799.99924,0
209.6698456,3.194910467,16299.99924,0
209.6662598,3.180246204,17099.99924,0
209.2784119,3.383735329,17299.99924,0
210.1123962,3.373632729,17299.99924,0
210.458847,3.007207841,18199.99924,0
210.6838226,2.875781685,19499.99771,0
210.6229706,2.862077415,19999.99771,0
210.5500183,2.87751469,20599.99924,0
210.328949,2.979261577,21299.99771,0
210.4173889,2.990178168,21199.99771,0
210.2494049,2.984399647,15999.99924,0
210.5211792,2.973706305,16999.99924,0
210.5388184,2.852403194,17699.99924,0
210.2417908,3.239918947,18199.99924,1
209.2805939,3.7386356,18499.99924,1
208.4730225,3.785535485,18099.99924,1
209.0351257,3.706039071,20599.99924,1
209.4670563,3.343307883,23099.99924,1
209.2171021,3.453361034,27899.99924,1
208.6796112,3.709556878,20599.99924,1
209.3683472,3.584197849,25099.99924,1
209.8614349,3.327147335,25399.99771,1
210.4217682,2.958080977,25299.99771,1
210.5431824,2.951877683,21899.99771,1
210.1507416,3.084035367,20599.99771,1
209.8181763,3.096925169,20699.99771,1
209.5371857,3.591154367,20699.99771,0
209.5559082,3.331097603,21799.99924,0
209.7677307,3.207754582,21899.99924,0
209.7354431,3.337159991,22299.99924,0
209.4141388,3.212855905,19699.99924,0
209.1339874,3.336081684,19799.99924,0
209.0554199,3.459773183,21199.99924,0
208.7307739,3.701636821,21299.99924,0
209.1100464,3.696546763,20699.99924,0
209.0753632,3.447393596,20999.99924,0
208.8817139,3.690424353,20499.99924,0
208.881424,3.810192496,20599.99924,0
209.4435425,3.561691344,21599.99924,0
208.7064209,4.187097013,22899.99771,0
208.043396,4.304101348,23399.99924,0
208.1457825,4.420343637,23699.99771,0
208.326355,4.295560598,21499.99771,0
208.3487854,4.174732298,19499.99771,0
208.3809052,4.055021316,39999.99924,0
208.348877,4.055117846,38899.99924,0
208.2885895,4.181508332,34399.99924,0
208.0661011,4.302391082,20799.99924,0
207.8509064,4.434611022,21199.99924,0
207.7114563,4.441061169,21499.99924,0
207.6403503,4.691927284,21799.99924,0
207.632782,4.710478693,20899.99771,0
207.7538605,4.58345452,20199.99771,0
208.0877991,4.465670824,19399.99924,0
208.3305817,4.207346201,19299.99771,0
208.7359924,4.20514521,19399.99924,0
208.7978058,4.323082834,19199.99924,0
208.5940247,4.580279946,18999.99924,0
208.0164185,4.576738596,19399.99924,0
208.412384,4.576091737,19399.99924,0
208.4336853,4.464030951,19799.99924,0
207.9809418,4.835118204,20499.99924,0
207.6255951,4.940579027,21099.99924,0
207.9322815,4.805270612,21099.99924,0
208.4329376,4.684134543,20499.99924,0
208.3994141,4.438423038,20399.99924,0
208.205307,4.812227517,21199.99924,0
208.2726746,4.819680184,20899.99924,0
208.2117004,4.823589563,20699.99924,0
208.7126465,4.576809496,20399.99924,0
208.6871643,4.333637446,20199.99924,0
208.4601746,4.587833375,20599.99924,0
208.196991,4.96199283,20799.99924,0
207.6587677,5.082539916,20899.99924,0
207.3429565,5.196683049,18599.99924,0
206.9248352,5.566928118,20399.99924,0
207.5216064,5.568901241,20399.99924,0
207.9953003,5.077908486,20199.99924,0
208.0507355,4.934887677,19299.99924,0
208.071167,4.820488006,22799.99924,0
208.781662,4.821891218,22799.99924,0
208.7607574,4.33754003,19399.99924,0
208.63591,4.847352952,19099.99924,0
208.0326538,4.969336033,19099.99924,0
207.618454,5.334419489,21599.99924,0
207.1237183,5.719234377,21599.99924,0
207.4162903,5.7190772,23199.99924,0
207.4599152,5.136160016,21199.99924,0
207.4164886,5.137970507,20399.99924,0
207.356308,5.133807212,20499.99924,0
207.2295227,5.515636891,21499.99924,0
206.770752,5.639699787,24399.99924,0
207.1310883,5.762788981,23799.99924,0
207.1354828,5.385133386,20799.99924,0
207.0723267,5.648332447,21099.99924,0
207.1803284,5.778583974,27099.99924,0
207.3990479,5.530081153,19299.99924,0
207.7487946,5.282372266,17999.99924,0
207.7185516,5.167450815,18799.99924,0
207.8835907,5.223524302,18099.99924,0
207.9442139,5.093144268,18299.99924,0
208.0126648,5.18001461,18799.99924,0
208.2302246,5.387815326,19099.99924,0
208.3838348,5.206878603,18699.99924,0
208.8087921,4.812665105,18699.99924,0
208.7515259,4.680283964,18599.99924,0
208.6642761,4.920272589,18799.99924,0
208.3463135,4.901879668,18699.99924,0
208.3251953,5.022122085,18299.99924,0
208.0306244,5.275076747,17799.99924,0
207.6820068,5.401818067,17699.99924,0
207.9142609,5.338748246,17499.99924,0
207.6069031,5.905349582,18999.99924,0
206.8683014,5.939833254,18799.99924,0
207.7799988,5.927095503,28799.99924,0
208.1380005,5.153627992,29899.99771,0
208.329422,4.88212797,30299.99771,0
208.6237183,4.658123672,30399.99771,0
208.7951202,4.312728584,29599.99771,0
208.723114,4.303624898,28399.99771,0
208.327774,4.556359202,24699.99771,0
208.2098694,4.566087693,24199.99924,0
208.1931305,4.289313465,22499.99771,0
208.7214661,4.469757408,21099.99771,0
208.821167,3.970909119,20999.99924,0
208.7698669,3.84099257,20299.99924,0
208.9000549,3.715055555,19799.99924,0
208.7366638,3.832810283,19599.99924,0
208.7433777,3.958984882,19499.99924,0
209.2023926,3.688497663,20799.99924,0
209.4975128,3.563661009,21199.99924,0
209.4485931,3.675822824,21099.99924,0
208.8441162,3.816196263,22599.99924,0
208.7691345,3.809488714,22799.99924,1
208.6725769,3.931869447,23099.99924,1
209.0901489,3.843489766,23599.99924,1
208.7833099,3.843581945,23299.99924,1
208.7858276,3.738263458,23499.99924,1
209.026123,3.571025968,21899.99924,1
209.131897,3.481387287,22099.99924,1
209.632019,3.474952221,21499.99924,1
209.6291199,3.349126905,20799.99924,1
209.7216644,3.2293953,20899.99924,1
